Frame No.,Landmark ID,Landmark Name,X,Y,Z,Squat Type
20,0,Nose,0.5085625052452087,0.1667270660400391,-0.1936087906360626,Correct
20,1,Left Eye Inner,0.5063815116882324,0.1521864831447601,-0.1698740124702454,Correct
20,2,Left Eye,0.509701669216156,0.151715099811554,-0.1698583215475082,Correct
20,3,Left Eye Outer,0.5131136178970337,0.1511473655700684,-0.1698815077543259,Correct
20,4,Right Eye Inner,0.4952759444713593,0.1536318957805634,-0.1984708458185196,Correct
20,5,Right Eye,0.4897657036781311,0.1540458202362061,-0.1986411958932877,Correct
20,6,Right Eye Outer,0.4842177927494049,0.1545810103416443,-0.1989976912736893,Correct
20,7,Left Ear,0.5060456395149231,0.159289225935936,-0.03085519559681416,Correct
20,8,Right Ear,0.4696154296398163,0.1647511422634125,-0.1509833186864853,Correct
20,9,Mouth Left,0.5133922100067139,0.1821708679199219,-0.1386882811784744,Correct
20,10,Mouth Right,0.4973644018173218,0.1843298822641373,-0.1727129071950912,Correct
20,11,Left Shoulder,0.4957349598407745,0.2459718585014343,0.138554185628891,Correct
20,12,Right Shoulder,0.4682003855705261,0.2443554401397705,-0.238080307841301,Correct
20,13,Left Elbow,0.5501478314399719,0.3010543286800385,0.1929379850625992,Correct
20,14,Right Elbow,0.560982882976532,0.3015484809875488,-0.3807662427425385,Correct
20,15,Left Wrist,0.5633827447891235,0.2843241691589355,0.1248033940792084,Correct
20,16,Right Wrist,0.6353861093521118,0.2616546750068665,-0.3604333102703094,Correct
20,17,Left Pinky,0.5682257413864136,0.2812243103981018,0.1067702397704124,Correct
20,18,Right Pinky,0.6525227427482605,0.2521884441375732,-0.3833214044570923,Correct
20,19,Left Index,0.561084508895874,0.2743424773216248,0.09267175197601318,Correct
20,20,Right Index,0.6457048058509827,0.2468709498643875,-0.3782182335853577,Correct
20,21,Left Thumb,0.5588504076004028,0.2785786986351013,0.1147050186991692,Correct
20,22,Right Thumb,0.6373056769371033,0.2543595433235168,-0.3559553325176239,Correct
20,23,Left Hip,0.4819244742393494,0.4833014607429504,0.1159805804491043,Correct
20,24,Right Hip,0.4640301764011383,0.4892775118350983,-0.11604905128479,Correct
20,25,Left Knee,0.4910986721515656,0.6489297747612,0.1176887825131416,Correct
20,26,Right Knee,0.4838925302028656,0.6548628211021423,-0.087320975959301,Correct
20,27,Left Ankle,0.4726144075393677,0.7900682687759399,0.2144985944032669,Correct
20,28,Right Ankle,0.4755917489528656,0.8118590116500854,-0.01908558234572411,Correct
20,29,Left Heel,0.4558975398540497,0.8094712495803833,0.2186432033777237,Correct
20,30,Right Heel,0.4570341408252716,0.8336029648780823,-0.0179680809378624,Correct
20,31,Left Foot Index,0.519254744052887,0.8372547626495361,0.1404338032007217,Correct
20,32,Right Foot Index,0.528398334980011,0.8591117262840271,-0.1213943958282471,Correct
21,0,Nose,0.5121539235115051,0.1662432104349136,-0.1931867301464081,Correct
21,1,Left Eye Inner,0.5097867846488953,0.1506019085645676,-0.1701917052268982,Correct
21,2,Left Eye,0.5138130784034729,0.1498671323060989,-0.1701052188873291,Correct
21,3,Left Eye Outer,0.5179550647735596,0.1490476131439209,-0.1701513826847076,Correct
21,4,Right Eye Inner,0.4968966841697693,0.1527382582426071,-0.1969111710786819,Correct
